Name,AnfP_x,AnfP_y,AnfP_z,EndP_x,EndP_y,EndP_z,RundP_x,RundP_y,RundP_z,Type
sketch_Rotorblech_1,0.06,0.0,0.0,0.042426406871192854,0.042426406871192854,0.0,0.0,0.0,0.0,Arc
sketch_Rotorblech_1,0.042426406871192854,0.042426406871192854,0.0,0.07778174593052023,0.07778174593052023,0.0,Nan,Nan,Nan,Line
sketch_Rotorblech_1,0.06,0.0,0.0,0.11,0.0,0.0,Nan,Nan,Nan,Line
sketch_Rotorblech_1,0.109581416790092,0.0095871317022424,0.0,0.08426488874308759,0.07070663706551933,0.0,0.0,0.0,0.0,Arc
sketch_Rotorblech_1,0.11,0.0,0.0,0.109581416790092,0.0095871317022424,0.0,0.0,0.0,0.0,Arc
sketch_Rotorblech_1,0.08426488874308759,0.07070663706551933,0.0,0.07778174593052023,0.07778174593052023,0.0,0.0,0.0,0.0,Arc
sketch_Magnet_1_North,0.109581416790092,0.00958713170224239,0.0,0.08426488874353513,0.07070663706498596,0.0,0.0,0.0,0.0,Arc
sketch_Magnet_1_North,0.12950531075192692,0.011330246557195566,0.0,0.09958577760546715,0.0835623892592501,0.0,0.0,0.0,0.0,Arc
sketch_Magnet_1_North,0.109581416790092,0.009587131702242395,0.0,0.12950531075192692,0.01133024655719556,0.0,Nan,Nan,Nan,Line
sketch_Magnet_1_North,0.08426488874353513,0.07070663706498596,0.0,0.09958577760546715,0.0835623892592501,0.0,Nan,Nan,Nan,Line
sketch_Luft_1,0.0842648887430876,0.07070663706551933,0.0,0.09958577760546715,0.0835623892592501,0.0,Nan,Nan,Nan,Line
sketch_Luft_1,0.07778174593052024,0.07778174593052023,0.0,0.09404520189781085,0.09404520189781083,0.0,Nan,Nan,Nan,Line
sketch_Luft_1,0.11,0.0,0.0,0.133,0.0,0.0,Nan,Nan,Nan,Line
sketch_Luft_1,0.109581416790092,0.009587131702242398,0.0,0.12950531075192692,0.011330246557195561,0.0,Nan,Nan,Nan,Line
sketch_Luft_1,0.0842648887430876,0.07070663706551931,0.0,0.07778174593052023,0.07778174593052023,0.0,0.0,0.0,0.0,Arc
sketch_Luft_1,0.11,0.0,0.0,0.109581416790092,0.0095871317022424,0.0,0.0,0.0,0.0,Arc
sketch_Luft_1,0.12950531075192692,0.011330246557195566,0.0,0.09958577760546715,0.0835623892592501,0.0,0.0,0.0,0.0,Arc
sketch_Luft_1,0.133,0.0,0.0,0.09404520189781083,0.09404520189781083,0.0,0.0,0.0,0.0,Arc
sketch_Rotorblech_2,0.042426406871192854,0.042426406871192854,0.0,0.07778174593052023,0.07778174593052023,0.0,Nan,Nan,Nan,Line
sketch_Rotorblech_2,0.042426406871192854,0.042426406871192854,0.0,3.67394039744206e-18,0.06,0.0,0.0,0.0,0.0,Arc
sketch_Rotorblech_2,3.7e-18,0.06,0.0,6.7000000000000006e-18,0.11,0.0,Nan,Nan,Nan,Line
sketch_Rotorblech_2,0.07070663706551934,0.08426488874308757,0.0,0.009587131702242395,0.109581416790092,0.0,0.0,0.0,0.0,Arc
sketch_Rotorblech_2,0.009587131702242395,0.109581416790092,0.0,6.735557395310443e-18,0.11,0.0,0.0,0.0,0.0,Arc
sketch_Rotorblech_2,0.07778174593052023,0.07778174593052023,0.0,0.07070663706551933,0.08426488874308759,0.0,0.0,0.0,0.0,Arc
sketch_Magnet_2_North,0.07070663706551931,0.0842648887430876,0.0,0.009587131702242395,0.109581416790092,0.0,0.0,0.0,0.0,Arc
sketch_Magnet_2_North,0.08356238925925008,0.09958577760546716,0.0,0.011330246557195557,0.12950531075192692,0.0,0.0,0.0,0.0,Arc
sketch_Magnet_2_North,0.07070663706551931,0.0842648887430876,0.0,0.08356238925925008,0.09958577760546716,0.0,Nan,Nan,Nan,Line
sketch_Magnet_2_North,0.009587131702242395,0.109581416790092,0.0,0.011330246557195557,0.12950531075192695,0.0,Nan,Nan,Nan,Line
sketch_Luft_2,0.009587131702242395,0.109581416790092,0.0,0.011330246557195557,0.12950531075192692,0.0,Nan,Nan,Nan,Line
sketch_Luft_2,6.7e-18,0.11,0.0,8.1e-18,0.133,0.0,Nan,Nan,Nan,Line
sketch_Luft_2,0.07778174593052023,0.07778174593052023,0.0,0.09404520189781083,0.09404520189781083,0.0,Nan,Nan,Nan,Line
sketch_Luft_2,0.07070663706551933,0.08426488874308759,0.0,0.0835623892592501,0.09958577760546716,0.0,Nan,Nan,Nan,Line
sketch_Luft_2,0.009587131702242395,0.109581416790092,0.0,6.735557395310443e-18,0.11,0.0,0.0,0.0,0.0,Arc
sketch_Luft_2,0.07778174593052023,0.07778174593052023,0.0,0.07070663706551933,0.08426488874308759,0.0,0.0,0.0,0.0,Arc
sketch_Luft_2,0.08356238925925008,0.09958577760546716,0.0,0.011330246557195557,0.12950531075192692,0.0,0.0,0.0,0.0,Arc
sketch_Luft_2,0.09404520189781083,0.09404520189781083,0.0,8.1439012143299e-18,0.133,0.0,0.0,0.0,0.0,Arc
sketch_Luftspalt_1,0.133,0.0,0.0,0.09404520189781083,0.09404520189781083,0.0,0.0,0.0,0.0,Arc
sketch_Luftspalt_1,0.135,0.0,0.0,0.09545941546018392,0.09545941546018392,0.0,0.0,0.0,0.0,Arc
sketch_Luftspalt_1,0.133,0.0,0.0,0.135,0.0,0.0,Nan,Nan,Nan,Line
sketch_Luftspalt_1,0.09404520189781083,0.09404520189781083,0.0,0.09545941546018392,0.09545941546018392,0.0,Nan,Nan,Nan,Line
sketch_Luftspalt_2,0.09404520189781083,0.09404520189781083,0.0,8.1439012143299e-18,0.133,0.0,0.0,0.0,0.0,Arc
